id,type,model,status,lost_by,date,nearest_location,geo,unit,tags
30371,Infantry fighting vehicles,BMP-1AM 675-sb3KDZ,Destroyed,Russia,2024-09-28,"Tsukuryne, Pokrovsk raion","48.111833,37.28875",,Cope cage
30372,Infantry fighting vehicles,BMP-1AM 675-sb3KDZ,Destroyed,Russia,2024-09-30,"Tsukuryne, Pokrovsk raion",,,Cope cage
30373,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-10-02,"Verkhnokamianske, Bakhmut raion","48.86874,38.23702",,Cope cage
30374,Tanks,T-80BV,Destroyed,Russia,2024-10-02,"Verkhnokamianka, Sievierodonetsk raion","48.841833,38.250528",,"Mine plow/roller, Cope cage"
30375,Tanks,T-64BV,Destroyed,Russia,2024-10-02,"Vasiukivka, Bakhmut raion","48.732833,38.006389",,"Mine plow/roller, Cope cage"
30376,Infantry fighting vehicles,BMP-3,Abandoned,Russia,2024-09-29,"Maksymilianivka, Pokrovsk raion","47.969048,37.421189",,"Cope cage, Additional armour"
30378,Infantry fighting vehicles,BMP-2(K),Destroyed,Russia,2024-09-02,Donetsk oblast,,,"PL-1, Cope cage"
30380,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-25,Donetsk oblast,,,Cope cage
30381,Infantry fighting vehicles,BMP-1(P),Destroyed,Russia,2024-09-25,Donetsk oblast,,,Turretless
30382,Infantry mobility vehicles,Remdiesel Z-STS 'Akhmat',Destroyed,Russia,2024-10-01,"Kremyanoe, Korenevo raion","51.40250,35.10527",,
30386,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,2024-10-01,"Skuchne, Pokrovsk raion","48.17038,37.51617",,"Shattered, Cope cage, Jammer"
30387,Rocket and missile artillery,122mm 2B17 BM-21-1 (for 9K51 'Grad'),Destroyed,Russia,2024-10-01,Kursk oblast,,,
30388,"Ambulances, medical vehicles",AS-4350.1 medical vehicle,Destroyed,Russia,2024-09-28,East Ukraine,,,KUNG
30390,Infantry fighting vehicles,BTR-82A(M),Destroyed,Russia,2024-10-01,Kursk oblast,,,"Z, Cope cage"
30392,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.29209,36.93692",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,Cope cage
30393,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.29283,36.93841",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,Cope cage
30394,Infantry fighting vehicles,MT-LB,Destroyed,Russia,2024-09-30,"Vovchansk, Chuhuiv raion","50.29247,36.93828",69th (ex-138th Separate Motor Rifle Brigade) Guards Motor Rifle Division,
