id,tag1
14707, ☐
14791, Shattered
14842, Shattered
14877, Shattered
14947, Z
14952, Z
15013, Z
15093, Shattered
15095, Shattered
15096, Shattered
15116, ☐
15160, Z
15197, Shattered
15246, Shattered
15325, Shattered
15330, Flipped
15339, Shattered
15340, Z
15362, Mine plow/roller
15374, ⧸
15386, Z
15395, Mine plow/roller
15400, Z
15428, Shattered
15453, Mine plow/roller
15472, Underwater
15505, Z
15506, V
15508, Additional armour
15555, Armour kit missing
15570, ∇
15573, Shattered
15679, Shattered
15725, Shattered
15742, Cope cage
15824, ☐
15832, PL-1
15835, Flipped
15853, Cope cage
15854, Mine plow/roller
15856, Shattered
15914, Flipped
15917, Damaged
16011, Shattered
16017, Mine plow/roller
16030, Shattered
16129, V
16132, Mine plow/roller
16273, Flipped
16287, Shattered
16299, ☐
16343, Cope cage
16360, Stugna
16375, V
16380, ☐
16415, O
16453, V
16456, Shattered
16457, Cope cage
16463, Shattered
16464, Mine plow/roller
16466, Shattered
16468, ∆
16540, Shattered
16586, V
16605, Mine plow/roller
16606, Shattered
16607, Z
16632, ⧸
16638, V
16721, Cope cage
16789, ☐
16793, O
16809, Cope cage
16826, Cope cage
16843, Z
16851, Z
16853, Cope cage
16946, V
16969, Z
17012, Cope cage
17032, Cope cage
17036, Shattered
17040, ☐
17042, V
17043, ☐
17044, V
17045, Shattered
17055, PL-1
17058, Shattered
17059, Damaged
17062, O
17064, Damaged
17101, V
17103, V
17114, Shattered
17116, Shattered
17117, Shattered
17118, Shattered
17119, Shattered
17164, Z
17166, Z
17184, Shattered
17188, Z
17224, KUNG
17245, Stugna
17251, Cope cage
17260, ☐
17278, O
17286, ☐
17315, Shattered
17318, O
17328, V
17350, O
17356, Flipped
17430, Z
17506, ☐
17514, Cope cage
17527, Z
17529, Z
17551, Shattered
17577, Z
17595, ☐
17625, Z
17657, Damaged
17664, Mine plow/roller
17670, Shattered
17718, Z
17756, Shattered
17795, Damaged
17840, Z
17854, Damaged
17859, Flipped
17875, V
17921, Cope cage
17922, Cope cage
17924, Z
17930, Flipped
17999, Additional armour
18038, Damaged
18050, Flipped
18053, Underwater
18065, ∇
18093, ◇
18139, Mine plow/roller
18140, Z
18141, Z
18142, Cope cage
18143, Additional armour
18144, Mine plow/roller
18145, Cope cage
18162, ☐
18164, Cope cage
18193, ∆
18207, Z
18212, Damaged
18218, V
18226, ☐
18227, Shattered
18233, Shattered
18245, Shattered
18297, Shattered
18336, Shattered
18377, Shattered
18380, Shattered
18404, V
18453, O
18465, Cope cage
18476, Shattered
18478, ☐
18554, Shattered
18558, Shattered
18581, Damaged
18602, ☐
18628, Cope cage
18684, Shattered
18718, O
18723, Shattered
18745, Z
18759, Shattered
18770, Damaged
18777, V
18795, Shattered
18844, Z
18948, ☐
18968, Damaged
18976, Shattered
18987, Mine plow/roller
18988, Cope cage
18989, V
18994, Damaged
18995, Shattered
18998, Shattered
19004, Shattered
19005, Damaged
19048, O
19085, V
19123, Z
19143, Shattered
19166, ☐
19168, Shattered
19170, Z
19174, Shattered
19177, V
19179, Additional armour
19180, Shattered
19189, Damaged
19196, Shattered
19216, Shattered
19230, ∇
19244, KUNG
19249, Shattered
19254, V
19255, Shattered
19294, Damaged
19296, Cope cage
19354, Z
19362, Shattered
19364, Shattered
19401, Z
19418, Loitering
19429, ☐
19430, ☐
19439, Additional armour
19441, Shattered
19473, ☐
19514, Shattered
19531, Shattered
19551, Cope cage
19576, Shattered
19596, O
19616, ⧸
19626, Z
19636, Additional armour
19658, Shattered
19668, V
19674, Shattered
19685, Cope cage
19686, Cope cage
19687, Z
19689, Damaged
19700, ◇
19714, Z
19748, Loitering
19761, Damaged
19764, ☐
19775, Z
19800, Cope cage
19809, Shattered
19880, Shattered
19919, Cope cage
19927, Cope cage
19963, Shattered
19978, Shattered
19979, Damaged
19999, Shattered
20034, Damaged
20039, Shattered
20049, Shattered
20084, Z
20098, Shattered
20117, Cope cage
20126, Shattered
20201, Shattered
20216, Mine plow/roller
20217, V
20227, Cope cage
20231, Shattered
20257, O
20276, Shattered
20277, Mine plow/roller
20290, Mine plow/roller
20291, Mine plow/roller
20297, ☐
20298, Shattered
20312, Cope cage
20362, Shattered
20366, Shattered
20369, Z
20370, Mine plow/roller
20411, V
20414, Cope cage
20432, Cope cage
20433, Shattered
20452, Armour kit missing
20453, Damaged
20462, KUNG
20499, Damaged
20506, Mine plow/roller
20507, Mine plow/roller
20511, Damaged
20512, Damaged
20515, Damaged
20528, Shattered
20557, Cope cage
20569, Z
20575, V
20576, V
20582, Shattered
20583, Mine plow/roller
20589, Shattered
20591, V
20597, Shattered
20614, Mine plow/roller
20616, Damaged
20617, ☐
20674, Damaged
20679, Shattered
20681, Z
20683, V
20684, V
20685, Cope cage
20687, Shattered
20689, Mine plow/roller
20695, Shattered
20696, Shattered
20723, Shattered
20733, Shattered
20748, Shattered
20786, Shattered
20792, Z
20800, Z
20813, Cope cage
20820, Shattered
20839, Cope cage
20848, Shattered
20850, Shattered
20855, Mine plow/roller
20879, Damaged
20884, Damaged
20886, Damaged
20894, Damaged
20908, Shattered
20924, Shattered
20929, Mine plow/roller
20937, V
20954, Jammer
20969, Shattered
20977, Damaged
20990, Cope cage
21017, Cope cage
21018, Shattered
21031, Shattered
21043, Z
21064, Shattered
21068, Shattered
21072, ◇
21099, ∇
21113, Flipped
21118, Shattered
21129, Shattered
21130, Damaged
21143, Cope cage
21158, Mine plow/roller
21159, Damaged
21161, O
21166, Cope cage
21167, Shattered
21178, Mine plow/roller
21182, Shattered
21183, Mine plow/roller
21185, Shattered
21186, Mine plow/roller
21190, Shattered
21201, Damaged
21204, Damaged
21206, Cope cage
21209, Cope cage
21226, V
21236, Cope cage
21241, Cope cage
21244, O
21250, Z
21256, Z
21257, Shattered
21259, Cope cage
21267, Shattered
21275, Cope cage
21276, Damaged
21279, Mine plow/roller
21280, Shattered
21281, Cope cage
21282, V
21283, Cope cage
21284, Mine plow/roller
21285, Cope cage
21286, Damaged
21288, PL-1
21314, Mine plow/roller
21328, Z
21341, O
21346, Shattered
21369, Shattered
21370, Z
21371, Cope cage
21375, Shattered
21386, Z
21411, Z
21415, Shattered
21418, Cope cage
21426, ☐
21438, Additional armour
21455, ☐
21461, O
21469, Cope cage
21475, Cope cage
21492, O
21496, ☐
21502, Mine plow/roller
21505, Mine plow/roller
21528, Damaged
21529, Damaged
21530, Cope cage
21540, Cope cage
21550, Mine plow/roller
21562, Shattered
21567, Cope cage
21568, Cope cage
21570, Cope cage
21576, Cope cage
21596, Cope cage
21603, Shattered
21605, Cope cage
21614, ☐
21616, Mine plow/roller
21631, Z
21648, ☐
21671, Expanded cabin
21700, Shattered
21728, Mine plow/roller
21729, Damaged
21743, ☐
21755, V
21785, O
21798, Cope cage
21810, Shattered
21825, V
21849, Damaged
21866, KUNG
21888, Shattered
21909, Z
21926, KUNG
21965, Armour kit missing
21970, Damaged
21971, O
21972, Shattered
21976, Cope cage
21977, Cope cage
21979, Damaged
21980, O
21984, Shattered
21986, Cope cage
21999, Damaged
22016, Shattered
22019, Cope cage
22020, Z
22023, ☐
22030, Damaged
22041, Shattered
22043, Shattered
22044, Shattered
22061, Z
22074, PL-1
22077, Shattered
22081, Z
22089, Shattered
22108, Shattered
22109, Shattered
22112, V
22125, V
22128, Damaged
22129, Damaged
22133, Shattered
22135, Damaged
22136, Shattered
22140, Shattered
22143, Shattered
22146, Damaged
22170, Shattered
22184, Shattered
22185, V
22187, V
22188, V
22191, Cope cage
22228, Shattered
22236, V
22241, Shattered
22249, Mine plow/roller
22256, Shattered
22262, Shattered
22270, Shattered
22272, Cope cage
22283, Shattered
22292, Mine plow/roller
22293, Damaged
22299, Cope cage
22301, Jammer
22303, Cope cage
22308, Damaged
22309, Cope cage
22310, Cope cage
22317, Shattered
22325, Cope cage
22346, Shattered
22347, Z
22374, Shattered
22375, Cope cage
22380, V
22385, ◇
22388, Shattered
22389, Damaged
22390, Shattered
22391, Shattered
22404, Z
22407, Damaged
22427, Damaged
22430, Damaged
22431, Damaged
22435, V
22437, Shattered
22446, Shattered
22454, Shattered
22461, Cope cage
22462, Damaged
22466, Damaged
22468, Damaged
22469, Mine plow/roller
22470, Damaged
22491, Cope cage
22510, Cope cage
22511, Cope cage
22513, Additional armour
22541, Damaged
22543, Expanded cabin
22567, Cope cage
22568, Underwater
22570, Damaged
22571, Shattered
22573, Damaged
22574, Damaged
22575, Shattered
22576, Cope cage
22578, Cope cage
22579, Shattered
22580, Armour kit missing
22587, Shattered
22591, Cope cage
22594, Cope cage
22598, Damaged
22599, Cope cage
22600, Shattered
22602, Cope cage
22631, Cope cage
22643, Cope cage
22648, Jammer
22653, Shattered
22656, V
22657, Cope cage
22658, Z
22666, Cope cage
22678, Damaged
22689, Cope cage
22690, Cope cage
22691, Shattered
22696, Shattered
22727, Shattered
22732, Shattered
22738, Z
22748, Shattered
22749, Z
22784, Shattered
22793, Cope cage
22803, Shattered
22804, Shattered
22807, Shattered
22818, Shattered
22840, V
22841, Cope cage
22870, ☐
22902, Flipped
22942, Underwater
22943, Underwater
22965, Shattered
23035, PL-1
23044, Underwater
23045, Underwater
23046, Underwater
23080, Cope cage
23097, Damaged
23099, Flipped
23100, Cope cage
23114, Expanded cabin
23120, Jammer
23130, Damaged
23152, Shattered
23159, ☐
23178, Loitering
23179, Cope cage
23181, Z
23189, Shattered
23194, Shattered
23196, Shattered
23197, Shattered
23199, Expanded cabin
23202, Shattered
23210, Cope cage
23211, Damaged
23212, Damaged
23219, Mine plow/roller
23230, Damaged
23231, Cope cage
23234, Cope cage
23254, Damaged
23263, Cope cage
23277, Damaged
23278, Damaged
23317, Shattered
23319, Cope cage
23321, Damaged
23322, Shattered
23323, Damaged
23324, Cope cage
23325, Cope cage
23326, Damaged
23330, Cope cage
23355, Shattered
23362, Damaged
23363, Shattered
23365, Shattered
23371, Cope cage
23375, Shattered
23395, Damaged
23401, Mine plow/roller
23416, Shattered
23418, Shattered
23423, V
23424, Expanded cabin
23431, Cope cage
23433, Additional armour
23439, Damaged
23451, Cope cage
23454, Mine plow/roller
23480, Damaged
23482, Cope cage
23494, Shattered
23497, Cope cage
23510, Armour kit missing
23511, Damaged
23512, Damaged
23516, Damaged
23517, Damaged
23519, Z
23528, Damaged
23531, Cope cage
23549, Cope cage
23550, Damaged
23562, Cope cage
23570, Damaged
23571, Damaged
23572, Cope cage
23578, Damaged
23586, Cope cage
23589, Cope cage
23590, Shattered
23591, Damaged
23618, Shattered
23624, Flipped
23633, Damaged
23635, Damaged
23643, Shattered
23644, Shattered
23645, Cope cage
23651, Flipped
23660, Damaged
23663, Damaged
23664, Damaged
23665, Cope cage
23668, Underwater
23672, Cope cage
23695, Cope cage
23722, Shattered
23728, Shattered
23743, Cope cage
23756, ☐
23761, Damaged
23766, Cope cage
23767, Damaged
23769, Damaged
23772, Cope cage
23774, Cope cage
23775, Cope cage
23785, Damaged
23792, Cope cage
23793, Cope cage
23830, Cope cage
23836, Armour kit missing
23856, Cope cage
23874, Mine plow/roller
23883, Additional armour
23911, Z
23914, Loitering
23920, Cope cage
23949, Jammer
23951, Shattered
23952, Cope cage
23959, Shattered
23977, Damaged
23979, Damaged
23987, Shattered
23991, Shattered
24014, Cope cage
24032, Cope cage
24034, Mine plow/roller
24035, Shattered
24037, Damaged
24038, Additional armour
24046, Cope cage
24047, Damaged
24052, Cope cage
24073, ☐
24080, Expanded cabin
24084, Mine plow/roller
24094, Cope cage
24096, Shattered
24099, Jammer
24110, Jammer
24112, ▲
24113, Expanded cabin
24114, ☐
24122, Shattered
24124, Jammer
24126, Cope cage
24127, Cope cage
24137, Mine plow/roller
24147, V
24148, ☐
24149, V
24155, Damaged
24164, Shattered
24172, Damaged
24185, Shattered
24186, Cope cage
24200, Jammer
24201, Cope cage
24203, Shattered
24211, Shattered
24213, Shattered
24218, Expanded cabin
24235, Damaged
24283, Z
24289, Shattered
24302, Shattered
24314, Shattered
24324, Shattered
24350, Shattered
24353, Damaged
24354, Cope cage
24356, Damaged
24370, Cope cage
24378, Cope cage
24382, Damaged
24390, Damaged
24408, Cope cage
24409, Improvised
24418, Mine plow/roller
24431, Cope cage
24443, Z
24444, Shattered
24454, Cope cage
24455, Cope cage
24463, Cope cage
24467, Z
24492, ∇
24493, Shattered
24494, Jammer
24510, Damaged
24511, Damaged
24513, Armour kit missing
24519, Cope cage
24554, Cope cage
24556, Cope cage
24560, Flipped
24564, Shattered
24568, Cope cage
24587, Cope cage
24590, Underwater
24596, Damaged
24601, Shattered
24603, Cope cage
24605, Additional armour
24608, Armour kit missing
24619, Additional armour
24622, Expanded cabin
24623, Cope cage
24626, Cope cage
24628, Jammer
24631, Flipped
24632, Shattered
24638, Armour kit missing
24639, Armour kit missing
24644, Additional armour
24645, Z
24646, Shattered
24649, Shattered
24655, Cope cage
24665, Cope cage
24666, Armour kit missing
24667, ▲
24679, Shattered
24691, Damaged
24709, Z
24713, Shattered
24720, Cope cage
24722, Armour kit missing
24732, ⧸
24740, ◇
24742, Cope cage
24743, ∆
24746, Cope cage
24747, Damaged
24749, Damaged
24751, Damaged
24755, Damaged
24758, Cope cage
24766, Cope cage
24786, Damaged
24787, Damaged
24789, Damaged
24792, Damaged
24794, Cope cage
24803, Mine plow/roller
24821, Shattered
24834, Shattered
24836, Shattered
24859, Cope cage
24880, Z
24899, Cope cage
24903, Cope cage
24912, Cope cage
24921, Cope cage
24927, Cope cage
