id,type,model,status,date,front,oblast,raion,town,lat,lon,tags
2639,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,2022-02-27,North Ukraine,Chernihiv oblast,Pryluky raion,Sribne,,,
2640,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,2022-03-17,East Ukraine,Kharkiv oblast,Izium raion,Husarivka ,,,"-937,-931"
2642,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,2022-04-03,North Ukraine,Kyiv oblast,,,,,"-938,-956"
2643,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,2022-05-12,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.95066,38.23173,-947
2644,Anti-tank systems,9P149 combat vehicle (for 9K114 'Shturm-S'),Captured,2022-05-12,East Ukraine,Luhansk oblast,Sievierodonetsk raion,Bilohorivka,48.95079,38.2316,-947
2646,Anti-tank systems,9P162 combat vehicle (for 9K128-1 'Kornet-T'),Destroyed,2022-04-01,North Ukraine,Kyiv oblast,Bucha raion,Motyzhyn,50.39652,29.95677,
2648,Transport,2F510 transport vehicle (for 2S12 'Sani' mortar),Destroyed,2022-03-29,East Ukraine,Zaporizhzhia oblast,Polohy raion,Novoselivka ,,,
2650,Transport,Ural-4320,Destroyed,2022-04-26,North Ukraine,Chernihiv oblast,Chernihiv raion,Lukashivka,51.385841,31.39117,
2651,Transport,Ural-43206,Destroyed,2022-04-26,North Ukraine,Chernihiv oblast,Chernihiv raion,Lukashivka,51.385848,31.391254,
2652,Transport,Ural-4320,Destroyed,2022-04-26,North Ukraine,Chernihiv oblast,Chernihiv raion,Lukashivka,51.385889,31.391226,
2662,Transport,KamAZ 6x6,Destroyed,2022-03-28,North Ukraine,Sumy oblast,Okhtyrka raion,Trostianets,50.48723,34.94388,
2665,Towed artillery,100mm 2A29 MT-12 'Rapira' anti-tank gun,Captured,2022-03-17,East Ukraine,Luhansk oblast,,,,,
2667,Towed artillery,120mm 2B16 'Nona-K' howitzer,Destroyed,2022-05-02,East Ukraine,Kharkiv oblast,Kharkiv raion,Slatyne,50.226972,36.163644,"-944,-954"
2669,Towed artillery,120mm 2B16 'Nona-K' howitzer,Captured,2022-03-04,East Ukraine,Kharkiv oblast,Kharkiv raion,Mala Rohan,,,-956
2670,Towed artillery,120mm 2B16 'Nona-K' howitzer,Captured,2022-03-09,East Ukraine,Kharkiv oblast,Kharkiv raion,Kulynychi,50.009648,36.406769,-937
2671,Towed artillery,120mm 2B16 'Nona-K' howitzer,Captured,2022-03-28,East Ukraine,Kharkiv oblast,Kharkiv raion,,,,
2672,Transport,Ural-4320,Captured,2022-03-28,East Ukraine,Kharkiv oblast,Kharkiv raion,,,,
2673,Towed artillery,120mm 2B16 'Nona-K' howitzer,Captured,2022-05-12,East Ukraine,Kharkiv oblast,,,,,
2674,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-02,South Ukraine,Mykolaiv oblast,Bashtanka raion,Bashtanka,47.406662,32.437393,-956
2675,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-01,South Ukraine,Mykolaiv oblast,,,,,
2676,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-02,South Ukraine,Mykolaiv oblast,Bashtanka raion,Bashtanka,47.406173,32.437678,
2681,Towed artillery,122mm 2A18 D-30 howitzer,Captured,2022-03-06,South Ukraine,Mykolaiv oblast,Mykolaiv raion,Mykolaiv,46.911418,32.099834,
